Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.62707694862993,72.68127355425736,71.37320320125843,72.6208267211914,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.84711001739942,72.67643886208242,71.6899497146884,71.91481018066406,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.03471685901826,72.52654087038833,70.78325591626742,72.48785400390625,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.49752175701711,72.75381577050801,71.9269071243437,72.14693450927734,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.84952541053639,73.60973691556963,71.84952541053639,73.30750274658203,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.28674867142341,75.05805096656148,74.03529512111521,74.8646240234375,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.09916182683553,75.59966347515947,74.53096000715122,75.03387451171875,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.35062150930146,76.66352519200935,75.23214067732687,76.63692474365234,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.57405589932931,76.78440971103713,75.4787595103825,75.60206604003906,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.40138244543428,76.28390474886808,74.84526714361999,75.27806854248047,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.82209877195635,76.33227394816954,75.45941772509225,76.2210464477539,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.47009335198214,77.06730848616459,76.16302603037396,77.06489562988281,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.69254005241989,77.13500771347044,76.4048124784183,76.54263305664062,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.02860833807343,77.36952937649916,76.72154106940934,76.81584167480469,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.86905772372998,77.26558524479366,76.32019557283769,77.18579864501953,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.43240119345582,78.17710300745777,76.772319051517,76.96333312988281,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.96859866575934,75.38205304274135,73.71614173787451,74.7002182006836,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.58273394834251,76.98509775416542,75.48360024038988,76.81343078613281,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.44791850299463,79.2699941203994,77.70562947444549,78.42131805419922,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.50250683445478,78.36084883811213,77.0697054811501,78.30765533447266,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.59680909150437,78.01993693561123,74.54062095731271,74.83560180664062,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.57588453843302,75.79791078115785,73.07297011838175,74.63008117675781,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.2379657074683,77.28490902345662,75.83176474651968,77.0938949584961,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,78.22305134186004,78.52287271376575,77.11808861152979,77.7225570678711,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,77.99336084201738,78.63409595534088,77.43483255655748,78.63167572021484,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,78.12998293153962,78.37961468469555,77.07086561575886,77.56285858154297,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,76.14505787629706,77.93125915527344,76.06508191592617,77.93125915527344,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,78.42807806299739,78.50078345731488,77.24292836168937,77.46105194091797,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,77.91185062961374,79.30542744679461,77.91185062961374,79.30058288574219,113730400,0.0,0.0
